"Carimbo de data/hora","Bairro:","CEP:","Número de cães em situação de rua:","Número de gatos em situação de rua:","Em quais condições esses animais geralmente estão?","Qual é o padrão de aparência mais comum dos cães de rua que você já observou? Por favor, selecione todas as opções que se aplicam.","Você já viu ou soube de vizinhos que abandonaram animais?","O que você acha da castração?","Você costuma ajudar de alguma forma?","Você pode deixar um comentário (opcional)"
"2023/06/09 2:49:18 PM GMT-3","Boqueirão","85022470","5","3","","","","","Sim, atuo em projetos de bem-estar animal (grupo, ONG ou afins)",""
"2023/06/11 1:20:45 AM GMT-3","Alto da XV","85065580","50","20","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Feridos ou machucados;Com sinais de maus-tratos;Com parasitas (pulgas, carrapatos, etc.);Abandonados com filhotes;Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Cor do pelo amarelo (caramelo);Tamanho grande;Orelhas caídas ou pendentes","Sim, se mudaram e deixaram pra trás","Super importante e sempre castro meus pets","Sim, atuo em projetos de bem-estar animal (grupo, ONG ou afins)",""
"2023/06/11 1:31:33 AM GMT-3","São Cristovão","85060610","4","0 ","Feridos ou machucados;Com parasitas (pulgas, carrapatos, etc.);Outro","Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho grande","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Sempre quando volto do trabalho vejo cachorros na Castelo Branco perdidos, correndo, magros, me da um desespero porque é uma rua muito movimentada.  "
"2023/06/11 1:40:51 AM GMT-3","Outro","","4","0","Feridos ou machucados;Com parasitas (pulgas, carrapatos, etc.);Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Pelagem longa e emaranhada;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho grande;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/11 6:35:22 AM GMT-3","Santa Cruz","85015210","5","5","Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Tamanho grande;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/11 9:09:10 AM GMT-3","Vila Carli","","Muitos ","Nenhum ","Desnutridos ou subnutridos;Feridos ou machucados;Com sinais de maus-tratos;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Outro","Pelagem curta e lisa;Pelagem longa e emaranhada;Pelagem irregular ou com manchas;Cor do pelo preto;Tamanho grande;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/11 9:30:58 AM GMT-3","Morro Alto","85070370","6","1","Com sinais de maus-tratos;Desidratados, fome e sede","Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Orelhas caídas ou pendentes","Sim, se mudaram e deixaram pra trás","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Sempre posso faço doacao para alguma instituição que ajuda animais e alimento os da Rua as vzs. 

Acho que seria importante o governo ajudar de forma mais efetiva. Oque não acontece muito. "
"2023/06/11 9:33:52 AM GMT-3","Outro","85022624","25","0","Feridos ou machucados;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.)","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Tamanho grande","Sim, descartam filhotes","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","No bairro onde moro é comum virem abandonar animais .... Já foram feitas denúncias mas sem solução 
"
"2023/06/11 9:49:27 AM GMT-3","Vila Carli","85035-160 ","Vários ","Vários ","Doentes ou com problemas de saúde;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Abandonados com filhotes","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim, atuo em projetos de bem-estar animal (grupo, ONG ou afins)",""
"2023/06/11 10:00:41 AM GMT-3","Outro","85139400","Bastante ","Alguns, menos que cães ","Feridos ou machucados;Desidratados, fome e sede;Abandonados com filhotes","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho grande;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/11 10:50:27 AM GMT-3","Boqueirão","85022-300 ","10","0","Doentes ou com problemas de saúde;Com parasitas (pulgas, carrapatos, etc.)","Pelagem longa e emaranhada;Tamanho pequeno ou de porte médio;Orelhas caídas ou pendentes","Sim, se mudaram e deixaram pra trás","Importante e necessário","Não posso ajudar",""
"2023/06/15 12:05:09 PM GMT-3","Trianon","","10","0","Desnutridos ou subnutridos;Desidratados, fome e sede","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho grande;Orelhas caídas ou pendentes","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/15 12:06:58 PM GMT-3","Santa Cruz","85015000","5","5","Doentes ou com problemas de saúde;Feridos ou machucados;Desidratados, fome e sede","Pelagem curta e lisa;Pelagem longa e emaranhada;Cor do pelo preto;Tamanho grande","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/15 12:13:27 PM GMT-3","Batel","......","Pouco ","Poucos ","Outro","Pelagem curta e lisa;Tamanho pequeno ou de porte médio","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Aqui cuidamos dos nossos ecos das ruas "
"2023/06/15 12:16:12 PM GMT-3","Santa Cruz","","3","3","Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/15 12:26:32 PM GMT-3","Vila Carli","85040050","10","3","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Feridos ou machucados;Com sinais de maus-tratos;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Abandonados com filhotes;Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem longa e emaranhada;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/15 12:42:16 PM GMT-3","Jardim das Américas","85030130","Aproximadamente 20.","Aproximadamente 7.","Desnutridos ou subnutridos","Pelagem curta e lisa","Sim, descartam filhotes","Importante e necessário","Não, mas eu gostaria de ajudar de alguma forma (Compartilhando a pesquisa!)",""
"2023/06/15 8:30:21 PM GMT-3","Outro","85070690","4","0","Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem longa e emaranhada;Tamanho pequeno ou de porte médio","Sim, se mudaram e deixaram pra trás","Importante e necessário","Não, mas eu gostaria de ajudar de alguma forma (Compartilhando a pesquisa!)",""
"2023/06/15 9:27:49 PM GMT-3","Outro","85022620","9","0","Em perigo iminente (ex.: próximo a uma rodovia movimentada);Outro","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho grande","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Excelente pesquisa (Meu bairro não consta na lista: Mirante da Serra)"
"2023/06/15 9:33:28 PM GMT-3","Bonsucesso","85045020","Tenho visto poucos animais nas ruas, creio que nesses últimos dias tenho visto uns 3","Não vi nenhum de rua","Outro","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Orelhas caídas ou pendentes","Sim, se mudaram e deixaram pra trás","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/16 7:01:38 AM GMT-3","Outro","85025-420 ","Em media uns 10","Nao sei","Desnutridos ou subnutridos;Desidratados, fome e sede;Abandonados com filhotes","Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Sim, atuo em projetos de bem-estar animal (grupo, ONG ou afins)",""
"2023/06/16 3:31:14 PM GMT-3","Bonsucesso","07931508920","3","0","Outro","Tamanho grande","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Não, mas eu gostaria de ajudar de alguma forma (Compartilhando a pesquisa!)",""
"2023/06/16 7:49:28 PM GMT-3","Vila Planalto","","20","8","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Feridos ou machucados;Com sinais de maus-tratos;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Abandonados com filhotes;Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Pelagem irregular ou com manchas;Cor do pelo amarelo (caramelo);Tamanho grande;Orelhas caídas ou pendentes","Sim, descartam filhotes","Importante e necessário","","A castração evita que mais animais sofram. Infelizmente o valor é muito alto para a maioria das pessoas"
"2023/06/20 11:46:03 AM GMT-3","Santa Cruz","","10","10","Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Pelagem irregular ou com manchas;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho grande;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Importante e necessário","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Eu trabalho na unicentro, sempre tem muitos cachorros por la, o pessoal alimenta mas pode ser perigoso por causa da rua movimentada  "
"2023/06/20 2:26:53 PM GMT-3","Boqueirão","85015540","8","2","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Feridos ou machucados;Com sinais de maus-tratos;Com parasitas (pulgas, carrapatos, etc.);Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Pelagem longa e emaranhada;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Precisamos urgentemente de políticas públicas voltadas para os animais em situação de rua, e que sejam políticas eficazes."
"2023/06/20 8:14:33 PM GMT-3","Jardim das Américas","85040530","Muitos","Não vi nenhum","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Feridos ou machucados;Com sinais de maus-tratos;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Abandonados com filhotes;Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Pelagem longa e emaranhada;Pelagem irregular ou com manchas;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Tamanho grande;Orelhas caídas ou pendentes;Orelhas pontudas","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim, atuo em projetos de bem-estar animal (grupo, ONG ou afins)",""
"2023/06/22 11:07:46 AM GMT-3","Santa Cruz","85015-450","Não sei","Não sei","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.);Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Pelagem irregular ou com manchas;Tamanho grande;Orelhas caídas ou pendentes","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Importante e necessário","Não, mas eu gostaria de ajudar de alguma forma (Compartilhando a pesquisa!)",""
"2023/06/22 11:19:43 AM GMT-3","Santa Cruz","85015310","5","2","Desnutridos ou subnutridos;Feridos ou machucados;Com sinais de maus-tratos;Com parasitas (pulgas, carrapatos, etc.);Em perigo iminente (ex.: próximo a uma rodovia movimentada)","Pelagem curta e lisa;Tamanho pequeno ou de porte médio;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/22 12:10:17 PM GMT-3","Boqueirão","85020070","10 ou mais ","Não sei ","Doentes ou com problemas de saúde;Com sinais de maus-tratos;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.)","Pelagem curta e lisa;Cor do pelo preto;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
"2023/06/22 12:26:54 PM GMT-3","Boqueirão","85023100","3","0","Outro","Pelagem curta e lisa;Cor do pelo preto;Tamanho grande","Não, nesse bairro não há problemas de animais na rua ou malcuidados","Super importante, mas é caro ou simplesmente não recebo o suficiente pra pagar","Sim,  eu faço o possível para alimentá-los e/ou serem adotados","Há alguns animais que ficam na rua, porém são ""de responsabilidade comunitária"" todos os vizinhos cuidam, mas os próprios animais gostaram dessa liberdade. Alguns deles já receberam até intervenções cirúrgicas e outros cuidados quando necessário, mesmo sem realmente pertencer a algum dos vizinhos."
"2023/06/22 1:10:09 PM GMT-3","Outro","85025070","Uns 10","Uns 5","Desnutridos ou subnutridos;Doentes ou com problemas de saúde;Feridos ou machucados;Com sinais de maus-tratos;Desidratados, fome e sede;Com parasitas (pulgas, carrapatos, etc.)","Pelagem curta e lisa;Cor do pelo amarelo (caramelo);Tamanho pequeno ou de porte médio;Tamanho grande;Orelhas caídas ou pendentes","Não, mas não cuidam ou está sempre preso na coleira","Super importante e sempre castro meus pets","Sim,  eu faço o possível para alimentá-los e/ou serem adotados",""
